Subject,Predicate,Object
https://authority.archives.go.kr/agent/OG0003138,https://www.ica.org/standards/RiC/ontology#descriptiveNote,"
         
         
         <html:div xmlns:html=""http://www.w3.org/1999/xhtml"" xml:lang=""ko"">
            
            
            <h4>기관 변천과 내부조직</h4>
               
            <html:p>◎ 총무처정부기록보존소 - 행정자치부정부기록보존소 - 행정자치부국가기록원 - 행정안전부국가기록원 - 안전행정부국가기록원 - 행정자치부국가기록원</html:p>
               
            <html:ul>
               
               <html:li>행정자치부 국가기록원 기록관리부 ( 2006.12 ~ 2008.02 )</html:li>
               <html:li>행정자치부 국가기록원 기록관리혁신단 ( 2005.05 ~ 2006.12 )</html:li>
               <html:li>행정자치부 국가기록원 기록정보서비스부 ( 2006.12 ~ 2008.02 )</html:li>
               <html:li>행정자치부 국가기록원 기록정보화팀 ( 2005.05 ~ 2006.12 )</html:li>
               <html:li>행정자치부 국가기록원 기록정책부 ( 2006.12 ~ 2008.02 )</html:li>
               <html:li>행정자치부 국가기록원 기획지원과 ( 2004.05 ~ 2005.05 )</html:li>
               <html:li>행정자치부 국가기록원 나라기록관 ( 2007.11 ~ 2008.02 )</html:li>
               <html:li>행정자치부 국가기록원 대통령기록관 ( 2007.11 ~ 2008.02 )</html:li>
               <html:li>행정자치부 국가기록원 대통령기록관리팀 ( 2006.12 ~ 2007.12 )</html:li>
               <html:li>행정자치부 국가기록원 보존관리과 ( 2004.05 ~ 2005.05 )</html:li>
               <html:li>행정자치부 국가기록원 보존관리팀 ( 2005.05 ~ 2006.12 )</html:li>
               <html:li>행정자치부 국가기록원 부산기록정보센터 ( 2005.05 ~ 2006.12 )</html:li>
               <html:li>행정자치부 국가기록원 부산지원 ( 2004.05 ~ 2005.05 )</html:li>
               <html:li>행정자치부 국가기록원 부산지원 ( 2006.12 ~ 2007.12 )</html:li>
               <html:li>행정자치부 국가기록원 서비스혁신팀 ( 2005.05 ~ 2006.12 )</html:li>
               <html:li>행정자치부 국가기록원 서울기록정보센터 ( 2005.05 ~ 2008.02 )</html:li>
               <html:li>행정자치부 국가기록원 서울사무소 ( 2004.05 ~ 2005.05 )</html:li>
               <html:li>행정자치부 국가기록원 서울지원 ( 2007.01 ~ 2007.12 )</html:li>
               <html:li>행정자치부 국가기록원 수집관리과 ( 2004.05 ~ 2005.05 )</html:li>
               <html:li>행정자치부 국가기록원 수집관리팀 ( 2005.05 ~ 2006.12 )</html:li>
               <html:li>행정자치부 국가기록원 역사기록관 ( 2007.11 ~ 2008.02 )</html:li>
               <html:li>행정자치부 국가기록원 평가분류과 ( 2004.05 ~ 2005.05 )</html:li>
               <html:li>행정자치부 국가기록원 평가분류팀 ( 2005.05 ~ 2006.12 )</html:li>
               <html:li>행정자치부 국가기록원 혁신지원팀 ( 2005.05 ~ 2006.12 )</html:li>
            </html:ul>

         </html:div>
      "
https://authority.archives.go.kr/agentName/OG0003138-korean,https://www.ica.org/standards/RiC/ontology#textualValue,행정자치부 국가기록원
https://authority.archives.go.kr/record/OG0003138,https://www.ica.org/standards/RiC/ontology#hasDocumentaryFormType,https://www.ica.org/standards/RiC/vocabularies/documentaryFormTypes#AuthorityRecord
N4cecc5da2dd14d94941a333adcd89a40,https://www.ica.org/standards/RiC/ontology#date,2009-03-05
https://authority.archives.go.kr/record/OG0003138,https://www.ica.org/standards/RiC/ontology#creationDate,2009-03-05
N0109853c3cd04956ac325cf20db2a372,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://www.ica.org/standards/RiC/ontology#Activity
https://authority.archives.go.kr/agentName/OG0003138-korean,https://www.ica.org/standards/RiC/ontology#isOrWasAgentNameOf,https://authority.archives.go.kr/agent/OG0003138
https://authority.archives.go.kr/instantiation/OG0003138,https://www.ica.org/standards/RiC/ontology#isInstantiationOf,https://authority.archives.go.kr/record/OG0003138
https://authority.archives.go.kr/agentName/OG0003138-korean,https://www.ica.org/standards/RiC/ontology#type,기관 대표명
https://authority.archives.go.kr/instantiation/OG0003138,https://www.ica.org/standards/RiC/ontology#identifier,1310377
